Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
6903,C,C;T,Hasa,Frosinone,3,2,1,3,2,1,5,5
6191,C,M;C,Belahyane,Lazio,3,1,2,3,1,2,3,3
333,C,M;C,Cataldi,Lazio,3,4,-1,4,5,-1,10,13
7248,C,M;C,Gorter,Lecce,3,1,2,3,1,2,12,15
5453,C,M;C,Ricci S.,Como,3,4,-1,3,4,-1,12,15
5131,C,M;C,Gilmour,Napoli,3,3,0,3,3,0,10,10
7138,C,M;C,Ordonez C.,Parma,3,2,1,3,2,1,10,13
7536,C,W;A,Diallo O.,Parma,3,3,0,2,2,0,12,10
6246,C,M;C,Lipani,Sassuolo,3,2,1,3,2,1,5,5
5007,C,M;C,Ilic,Lecce,3,1,2,3,1,2,16,21
7183,C,W;A,Aboukhlal,Torino,3,3,0,2,2,0,5,4
801,C,M;C,Gagliardini,Cagliari,3,3,0,4,4,0,8,9
7232,C,T;A,Fernandez T.,Venezia,3,3,0,2,2,0,8,6
6225,C,M;C,El Azzouzi O.,Bologna,2,2,0,2,2,0,10,12
6241,C,C;T,Gelli F.,Frosinone,2,3,-1,2,3,-1,6,6
6503,C,M;C,Stankovic A.,Inter,2,3,-1,2,3,-1,7,9
7477,C,M;C,Colombo L.,Monza,2,3,-1,2,3,-1,4,5
7276,C,E;C,Cremaschi,Parma,2,1,1,2,1,1,3,3
6212,C,M;C,Zarraga,Udinese,2,1,1,2,1,1,4,4
7418,C,W;T,Chakvetadze,Udinese,2,2,0,2,2,0,6,6
5872,C,C;T,Helgason,Venezia,2,3,-1,2,3,-1,3,3
6592,C,W;T,Forson O.,Monza,2,1,1,2,1,1,1,1
7574,C,C,Foe Ondoa,Monza,2,1,1,2,1,1,2,2
7092,C,W;T,Jovanovic,Udinese,2,2,0,2,2,0,5,5
7628,C,M;C,Sierro,Parma,2,1,1,2,1,1,1,1
7165,C,M;C,Liteta,Cagliari,1,1,0,1,1,0,1,1
7357,C,C;T,Lahdo,Como,1,1,0,1,1,0,1,1
7456,C,M;C,El Azzouzi A.,Frosinone,1,1,0,1,1,0,1,1
5725,C,C,Kone B.,Frosinone,1,1,0,1,1,0,3,3
6980,C,W,Venturino,Genoa,1,2,-1,1,2,-1,4,4
7345,C,W;T,Przyborek,Lazio,1,1,0,1,1,0,5,5
6410,C,M;C,Kaba,Lecce,1,1,0,1,1,0,2,2
7319,C,M;C,Fofana Sa.,Lecce,1,1,0,1,1,0,1,1
5880,C,E;W,Ciurria,Monza,1,2,-1,1,2,-1,6,6
6219,C,M;C,Boloca,Sassuolo,1,2,-1,1,2,-1,5,5
7481,C,C,Dagasso,Venezia,1,1,0,1,1,0,1,1
526,C,C,Duncan,Venezia,1,2,-1,1,2,-1,4,4
7571,C,W;A,Laerke,Lecce,1,1,0,1,1,0,1,1
7572,C,M;C,Comotto,Milan,1,1,0,1,1,0,1,1
7575,C,C,Mout,Monza,1,1,0,1,1,0,12,12
5462,C,W,Ciervo,Cagliari,1,1,0,1,1,0,1,1
7629,C,C;T,Libra,Bologna,1,1,0,1,1,0,1,1
5585,A,Pc,Malen,Roma,37,34,3,37,34,3,450,450
2764,A,Pc,Martinez L.,Inter,34,35,-1,34,35,-1,382,382
4871,A,Pc,Thuram,Inter,30,29,1,30,29,1,271,271
6052,A,Pc,Hojlund,Napoli,28,28,0,28,28,0,284,284
6397,A,Pc,Ramos G.,Milan,26,27,-1,26,27,-1,220,220
2097,A,Pc,Kean,Como,24,25,-1,24,25,-1,165,165
5951,A,Pc,Kolo Muani,Juventus,24,26,-2,24,26,-2,120,120
6752,A,A,Woltemade,Juventus,22,23,-1,22,23,-1,127,127
7017,A,Pc,Douvikas,Como,21,20,1,21,20,1,165,165
6434,A,A,Yildiz,Juventus,21,23,-2,22,24,-2,75,75
2137,A,Pc,Scamacca,Atalanta,20,19,1,19,18,1,104,104
5637,A,Pc,Davis K.,Udinese,19,19,0,19,19,0,115,115
7071,A,Pc,Esposito F.P.,Inter,18,16,2,18,16,2,110,110
531,A,A,Berardi,Sassuolo,18,18,0,19,19,0,106,106
6435,A,Pc,Krstovic,Atalanta,17,18,-1,16,17,-1,90,87
5995,A,A,De Ketelaere,Atalanta,16,17,-1,17,18,-1,86,86
6675,A,Pc,Dovbyk,Bologna,16,16,0,16,16,0,40,37
7023,A,Pc,Pellegrino M.,Fiorentina,16,15,1,16,15,1,57,54
309,A,A,Dybala,Roma,16,14,2,17,15,2,113,113
6060,A,A,Laurientè,Sassuolo,16,15,1,16,16,0,81,81
5734,A,A,Soulè,Roma,15,12,3,16,13,3,55,55
6967,A,W;A,Diao,Como,14,11,3,15,12,3,70,72
7351,A,W;A,Santos A.,Napoli,14,14,0,15,15,0,55,55
6572,A,Pc,Castro S.,Roma,14,14,0,13,13,0,60,57
2061,A,Pc,Simeone,Torino,14,15,-1,14,15,-1,63,60
5694,A,Pc,Beto,Fiorentina,14,14,0,14,14,0,52,49
4371,A,A,Raspadori,Atalanta,13,13,0,14,14,0,50,50
4463,A,A,Esposito Se.,Sassuolo,13,13,0,14,14,0,45,45
7484,A,Pc,Adams A.,Venezia,12,12,0,11,11,0,36,33
5436,A,Pc,Raimondo,Frosinone,11,7,4,11,6,5,60,57
7347,A,Pc,Bowie,Sassuolo,11,10,1,10,9,1,34,34
2038,A,Pc,Pinamonti,Lazio,11,13,-2,11,12,-1,51,48
6646,A,A,Adams C.,Torino,11,9,2,12,10,2,27,27
7547,A,Pc,Kevin Carlos,Cagliari,11,13,-2,10,12,-2,25,22
7554,A,Pc,Romero D.,Parma,11,10,1,11,10,1,35,32
4923,A,Pc,Colombo,Genoa,10,11,-1,9,10,-1,51,48
6904,A,A,Yeboah J.,Venezia,10,8,2,10,8,2,30,30
6229,A,Pc,Tourè E.,Parma,10,11,-1,10,11,-1,30,30
4896,A,T;A,Maldini,Cagliari,9,5,4,9,6,3,28,28
4359,A,Pc,Piccoli,Bologna,9,8,1,8,7,1,43,40
6530,A,W;A,Ghedjemis,Frosinone,9,9,0,10,10,0,26,28
6204,A,W;A,Kvernadze,Frosinone,9,4,5,10,5,5,38,35
2155,A,Pc,Cutrone,Monza,9,9,0,8,8,0,17,14
7600,A,Pc,Osmajic,Genoa,9,8,1,8,7,1,31,28
7612,A,Pc,Bobcek,Frosinone,9,9,0,9,9,0,13,10
6164,A,A,Vitinha O.,Genoa,8,8,0,8,8,0,12,12
6669,A,Pc,Bonny,Inter,8,7,1,7,6,1,18,15
6556,A,A,Noslin,Lazio,8,6,2,8,6,2,15,15
5029,A,Pc,Geubbels,Lecce,8,9,-1,7,8,-1,18,15
7374,A,Pc,Mendy P.,Cagliari,7,4,3,6,3,3,16,13
7252,A,Pc,Stulic,Lecce,7,7,0,6,6,0,11,10
7523,A,Pc,Varela G.,Monza,7,3,4,7,3,4,37,34
7449,A,Pc,Rrahmani Al.,Venezia,7,8,-1,6,7,-1,12,9
7620,A,A,Zeballos,Monza,7,6,1,7,6,1,21,21
7623,A,W;A,Gnonto,Fiorentina,7,7,0,8,8,0,20,22
2832,A,W;A,Boga,Juventus,6,6,0,7,7,0,23,25
608,A,Pc,Zapata D.,Torino,6,7,-1,5,6,-1,12,10
7272,A,Pc,Gueye,Udinese,6,4,2,5,3,2,10,7
7546,A,A,Robinson J.,Monza,6,4,2,6,4,2,13,13
5918,A,A,Sulemana K.,Atalanta,5,6,-1,5,6,-1,5,5
5882,A,A,Mota,Monza,5,5,0,5,5,0,8,8
6831,A,W;A,Neres,Napoli,5,6,-1,6,7,-1,18,20
7561,A,A,Lontani,Parma,5,1,4,5,1,4,17,17
7001,A,W;A,N'Dri,Lecce,4,3,1,5,4,1,10,11
6519,A,Pc,Camarda,Milan,4,5,-1,3,4,-1,15,12
7120,A,A,Lang,Napoli,4,3,1,4,3,1,13,13
7213,A,A,Frigan,Parma,4,5,-1,4,5,-1,6,6
4387,A,Pc,Adorante,Venezia,4,5,-1,3,4,-1,5,5
2012,A,Pc,Milik,Juventus,4,5,-1,3,4,-1,3,3
7602,A,W;A,Fatah,Lecce,4,4,0,5,5,0,8,8
7610,A,Pc,Birligea,Frosinone,4,5,-1,4,5,-1,7,7
6145,A,A,Ngonge,Monza,4,5,-1,4,5,-1,12,12
5336,A,Pc,Nzola,Cagliari,4,4,0,4,4,0,10,10
7453,A,Pc,Havel,Genoa,3,4,-1,2,3,-1,5,5
7162,A,A,Giovane,Napoli,3,4,-1,3,4,-1,3,3
6215,A,Pc,Lucca,Napoli,3,3,0,3,3,0,12,10
7342,A,Pc,Elphege,Parma,3,3,0,3,3,0,10,10
7349,A,Pc,Kulenovic,Torino,3,4,-1,2,3,-1,7,7
6822,A,A,Ekhator,Juventus,2,3,-1,2,3,-1,7,7
7482,A,Pc,Lauberbach,Venezia,2,1,1,2,1,1,1,1
7627,A,Pc,Enem,Bologna,2,2,0,2,2,0,4,4
7317,A,Pc,Trepy,Cagliari,1,1,0,1,1,0,1,1
7161,A,Pc,Bayo V.,Udinese,1,1,0,1,1,0,3,3
7408,A,W;A,Lisman,Venezia,1,1,0,1,1,0,1,1
7568,A,Pc,De Martis,Parma,1,1,0,1,1,0,1,1
7622,A,A,Robinho Junior,Genoa,1,1,0,1,1,0,2,2
